1091,"Ketoconazole 200 mg caps, 30's","Ketoconazole 200 mg caps, 30's",9000
1092,"Griseofulvine 500mg tab, 10's.","Griseofulvine 500mg tab, 10's.",3000
1093,"Loratidin 10mg tab, 10's.","Loratidin 10mg tab, 10's.",2000
1094,"Losartant tab","Losartant tab",8000
1095,"Leperamide 2mg caps, 10's","Leperamide 2mg caps, 10's",2000
1096,"Levofloxacilling 500mg tab, 10's","Levofloxacilling 500mg tab, 10's",8000
1097,"Mefanamic acid 500mg caps, 10's","Mefanamic acid 500mg caps, 10's",3000
1098,"Metformine 500mg tab,10's 30 tabs","Metformine 500mg tab,10's 30 tabs",6000
1099,"Metronidazole 250mg tab, 10's 30 caps","Metronidazole 250mg tab, 10's 30 caps",3000
1100,"Metronidazole 500mg tab, 10's 30 tabs","Metronidazole 500mg tab, 10's 30 tabs",5000
1101,"Multivitamine tab, 10's. 30 tabs ","Multivitamine tab, 10's. 30 tabs ",5000
1102,"Microgynon tab, 30's 3 cycle","Microgynon tab, 30's 3 cycle",15000
1103,"Neorobin tab pck","Neorobin tab pck",5000
1104,"Nifedipine 10mg tab,10's","Nifedipine 10mg tab,10's",5000
1105,"Nystatin v.tab 14's.","Nystatin v.tab 14's.",10000
1106,"Omeprazole 20mg caps, 10's 30 tabs","Omeprazole 20mg caps, 10's 30 tabs",5000
1107,"Paracetamole 500mg tab, 20'","Paracetamole 500mg tab, 20'",3000
1108,"Paracetamol 125mg suppose, 5 tubes","Paracetamol 125mg suppose, 5 tubes",3000
1109,"Pantoprazole 40mg tab, 28's.","Pantoprazole 40mg tab, 28's.",8000
1110,"P.alaxin tab. 9's.","P.alaxin tab. 9's.",6000
1111,"Promethazine 25mg, 10's","Promethazine 25mg, 10's",5000
1112,"Praziquantel 600mg tab, 1's.","Praziquantel 600mg tab, 1's.",5000
1113,"Prednisolone 5mg tab, 30's","Prednisolone 5mg tab, 30's",5000
1114,"Plassil 10 mg tab, 10's","Plassil 10 mg tab, 10's",5000
1115,"Quinine 300mg tab, 30's","Quinine 300mg tab, 30's",10000
1116,"Ranitidine 150mg tab, 30's","Ranitidine 150mg tab, 30's",5000
1117,"Sildenafil 100mg tab 4 tabs","Sildenafil 100mg tab 4 tabs",8000
1118,"Sulbutamole4mg tab, 10's","Sulbutamole4mg tab, 10's",5000
1119,"Salbutamol spray.","Salbutamol spray.",12000
1120,"Tinidazole 500mg tab,4's 12 tabs","Tinidazole 500mg tab,4's 12 tabs",5000
1121,"Tramadol 50 mg tab, 10's","Tramadol 50 mg tab, 10's",3000
1122,"Urinex cap, 30's","Urinex cap, 30's",8000
1123,"V.B. complex tab. 30 tabs","V.B. complex tab. 30 tabs",5000
1124,"Vitamin –c- 100mg tab. 30's","Vitamin –c- 100mg tab. 30's",5000
1125,"Zinc 20 mg tab,10's","Zinc 20 mg tab,10's",5000
1126,"Esomeprazol 14 tabs","Esomeprazol 14 tabs",5000
1127,"Esomeprazol 28 tabs","Esomeprazol 28 tabs",8000
1128,"Albendazole 200mg/5ml suspen.","Albendazole 200mg/5ml suspen.",3000
1129,"Amoxicillin 125mg/5ml Syr.","Amoxicillin 125mg/5ml Syr.",3000
1130,"Ampiclox 250mg/5ml syr.","Ampiclox 250mg/5ml syr.",3000
1131,"Azithromycin 200mg/5ml syr.","Azithromycin 200mg/5ml syr.",2000
1132,"Amo-clave 228.5/5ml syr","Amo-clave 228.5/5ml syr",6000
1133,"Bacterium 240mg/5ml.","Bacterium 240mg/5ml.",3000
1134,"Cephalexine 125mg/5ml syr.","Cephalexine 125mg/5ml syr.",3000
1135,"CAF 125mg/5ml syr.","CAF 125mg/5ml syr.",3000
1136,"Chlorphenamine 2mg/5ml.","Chlorphenamine 2mg/5ml.",3000
1137,"Cough syr/Expectorant","Cough syr/Expectorant",5000
1138,"Cough syr/Relexes","Cough syr/Relexes",5000
1139,"Cough Linctus syr. ","Cough Linctus syr. ",5000
1140,"Erythromycin 125mg/5ml susp","Erythromycin 125mg/5ml susp",5000
1141,"Ferro B – Sulfate syr.","Ferro B – Sulfate syr.",2000
1142,"Flucap syr.","Flucap syr.",3000
1143,"Ibubrofen 100mg/5ml syr.","Ibubrofen 100mg/5ml syr.",2000
1144,"Lonart susp.","Lonart susp.",6000
1145,"Luctutose syr.","Luctutose syr.",5000
1146,"Mebendazole suspension","Mebendazole suspension",3000
1147,"Multivitamin syr","Multivitamin syr",3000
1148,"Mefenamic acid syr","Mefenamic acid syr",3000
1149,"Metronidazole 125 mg/5ml susp.","Metronidazole 125 mg/5ml susp.",2000
1150,"Nystatin syrup 100000IU/1cc","Nystatin syrup 100000IU/1cc",3000
1151,"Paracetamole 125mg/5ml syr.","Paracetamole 125mg/5ml syr.",1000
1152,"Piritix junior syr. ","Piritix junior syr. ",3000
1153,"P. alaxin susp.","P. alaxin susp.",6000
1154,"Promethazine 5mg/5ml syr.","Promethazine 5mg/5ml syr.",2000
1155,"Plassil syr.","Plassil syr.",3000
1156,"Quinine 100mg/5mlsyr.","Quinine 100mg/5mlsyr.",6000
1157,"Anti acid (Relcel gel) suspen.","Anti acid (Relcel gel) suspen.",5000
1158,"Toractin syr.","Toractin syr.",5000
1159,"Zinc 10mg/5ml syr.","Zinc 10mg/5ml syr.",2000
1160,"Arthemeter 40 mg (pediatric doc","Arthemeter 40 mg (pediatric doc",9000
1161,"Arthemeter 80mg (Adult dose)","Arthemeter 80mg (Adult dose)",20000
1162,"Artusunate 60mg Inj.","Artusunate 60mg Inj.",900
1163,"Aminophylline 250 mg /amp","Aminophylline 250 mg /amp",5000
1164,"Ampiclox 500 mg/vial.","Ampiclox 500 mg/vial.",2000
1165,"Adrenalline 1 mg","Adrenalline 1 mg",5000
1166,"Benzathine pencillin 2,4IU","Benzathine pencillin 2,4IU",4000
1167,"Chlorephronamine inj.","Chlorephronamine inj.",5000
1168,"Cry. Penciiline 1 million/vial","Cry. Penciiline 1 million/vial",2000
1169,"CAF 500mg/ vial.","CAF 500mg/ vial.",2000
1170,"Ceftriaxone 1gm/7vial.","Ceftriaxone 1gm/7vial.",10000
1171,"Ciprofloxacilline infusion","Ciprofloxacilline infusion",2000
1172,"Dexamethasone 4mg","Dexamethasone 4mg",2000
1173,"Diclofenac 75mg/ 3ml","Diclofenac 75mg/ 3ml",5000
1174,"Diazepam 10mg/2ml","Diazepam 10mg/2ml",5000
1175,"Dep-provera 150mg","Dep-provera 150mg",4000
1176,"Gentamycine 80mg/2ml","Gentamycine 80mg/2ml",2000
1177,"Hydrocortisone 100mg/ vial","Hydrocortisone 100mg/ vial",3000
1178,"Hyoscine 10mg/amp.","Hyoscine 10mg/amp.",2000
1179,"Lasix 20mgor40mg/amp.","Lasix 20mgor40mg/amp.",5000
1180,"Metronidazole 500mg/100ml","Metronidazole 500mg/100ml",2000
